time,Jan,Feb,Mar,Apr,May,Jun
1,86863,109737,140158,131558,98240,117506
2,87963,113110,140516,127665,101184,116905
3,107057,113716,142224,138268,105349,109383
4,104410,103121,149466,137074,121807,110226
5,114282,97259,140818,125794,112297,124518
6,117508,119387,141047,126499,109827,121868
7,125974,120069,141344,119620,97682,125100
8,140170,121303,139229,108109,109870,129505
9,185859,125507,128962,106929,107041,126925
10,195734,130747,142815,120047,108977,116080
11,115316,128681,143620,119705,115882,111394
12,113829,132269,139425,113813,118404,118186
13,110012,129130,143485,119207,111058,118050
14,99701,131193,136612,123899,109917,126892
15,94102,150981,133926,114379,121962,125465
16,109706,153200,126811,118020,123278,128269
17,105285,169726,126470,125777,123979,123054
18,102067,166946,113892,124421,125391,122845
19,90687,153491,106363,121225,128413,132905
20,82413,153156,117303,127675,115455,125965
21,62333,134900,112984,122489,119280,125978
22,87928,134673,144779,113052,129694,116976
23,94166,133056,146291,120636,126092,121267
24,97096,134915,142754,117969,128642,122423
25,95752,125458,131236,118906,123176,137636
26,96415,124122,131614,112598,128202,130544
27,104404,130516,137475,114542,126430,128380
28,107923,135865,133560,118912,115977,134128
29,109480,135865,134510,104806,124838,130203
30,109013,135865,120888,99635,121033,129932
