continent,continent,lifeExp,pop,gdpPercap
Guangdong,South,256143,116295,109428
JiangSu,East,167628,80483,76504
HeNan,Mid,134575,69453,66817
ShanDong,East,124607,64798,60392
ZheJiang,South,119363,60041,57577
BeiJing,East,107820,42096,38974
SiChuan,South,93107,46073,44528
HeBei,East,90657,47019,46304
HuBei,Mid,80256,36512,34068
FuJian,South,75606,32605,30998
AnHui,East,70998,36785,35649
Hunan,South,65774,31541,30556
ShangHai,East,61881,25163,24068
LiaoNing,North,58647,29034,27974
ShanXi,Mid,57979,28432,27308
GuangXi,South,52754,26342,25392
YunNan,South,48329,26339,25423
JiangXi,South,45971,23376,22347
ShaanXi,Mid,42812,22890,22402
ChongQing,Mid,38609,18861,16561
Else,Mid,36442,17189,15785
GuiZhou,South,35199,19080,18604
HeiLongJiang,North,33642,17312,16851
XinJiang,West,30277,16113,15551
JiLin,North,29729,14838,14199
TianJin,East,27819,13427,13114
NeiMonggu,North,27748,14883,14200
HaiNan,South,15982,7936,7642
XiangGang,South,12405,1726,1484
NingXia,Mid,9766,4908,4820
QingHai,West,7735,4147,3997
XiZang,West,4273,2334,2271
TaiWan,North,2019,292,293
AoMen,North,381,177,181
